Tektronix PWRVIEW measurement snap-shot
Created, Wednesday, 03 September 2014, 17:14:46
PA1000(0122),S/N C010122,Ver.1.001.006
Meas,PA1000(0122) 1
Vrms,122 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Arms,513 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Watts,62.4 W   ,,,,,,,,,,,,,,,,,,,,,,,,,
Freq,60.0 Hz  ,,,,,,,,,,,,,,,,,,,,,,,,,
PF,1.00     ,,,,,,,,,,,,,,,,,,,,,,,,,
Vcf,1.45     ,,,,,,,,,,,,,,,,,,,,,,,,,
Acf,1.45     ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh1m,122 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh1p,0.00 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh2m,33.3 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh2p,-112 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh3m,826 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh3p,64.7 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh4m,46.8 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh4p,-89.0 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh5m,3.32 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh5p,-18.3 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh6m,18.0 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh6p,17.9 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh7m,1.95 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh7p,81.2 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh8m,22.4 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh8p,-18.0 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh9m,1.19 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh9p,179 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh10m,15.9 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh10p,-9.39 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh11m,575 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh11p,50.7 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh12m,8.41 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh12p,-23.9 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh13m,656 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh13p,172 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah1m,512 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah1p,273 m°  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah2m,185 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah2p,-101 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah3m,1.71 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah3p,25.0 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah4m,210 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah4p,-91.6 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah5m,14.0 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah5p,-17.9 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah6m,67.8 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah6p,5.22 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah7m,8.08 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah7p,81.6 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah8m,93.5 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah8p,-22.1 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah9m,4.97 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah9p,180 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah10m,67.1 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah10p,-10.4 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah11m,2.43 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah11p,51.1 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah12m,39.3 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah12p,-37.0 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah13m,2.73 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah13p,172 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh1m,62.3 W   ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh2m,6.03 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh3m,1.08 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh4m,9.83 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh5m,47.2 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh6m,1.19 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh7m,15.9 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh8m,2.09 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh9m,5.82 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh10m,1.04 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh11m,1.43 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh12m,322 nW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh13m,1.79 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
