Tektronix PWRVIEW measurement snap-shot
Created, Thursday, 28 August 2014, 14:33:35
PA1000(0122),S/N C010122,Ver.1.001.006
Meas,PA1000(0122) 1
Vrms,119.87 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Arms,2.4055 A   ,,,,,,,,,,,,,,,,,,,,,,,,,
Watts,285.36 W   ,,,,,,,,,,,,,,,,,,,,,,,,,
VA,288.33 VA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Freq,59.982 Hz  ,,,,,,,,,,,,,,,,,,,,,,,,,
PF,989.69 m   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vdc,-31.295 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Adc,25.524 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vthd,3.9227 %   ,,,,,,,,,,,,,,,,,,,,,,,,,
Athd,12.961 %   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh1m,119.73 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh1p,0.0000 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh2m,18.594 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh2p,-120.80 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh3m,1.0348 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh3p,59.633 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh4m,71.967 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh4p,-119.99 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh5m,3.9433 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh5p,-21.905 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh6m,32.608 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh6p,49.312 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh7m,1.6634 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh7p,64.636 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh8m,28.998 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh8p,-129.72 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh9m,1.2204 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh9p,177.60 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh10m,41.739 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh10p,18.020 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh11m,985.58 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh11p,63.706 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh12m,16.227 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh12p,-123.91 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh13m,494.64 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh13p,146.10 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh14m,17.284 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh14p,20.079 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh15m,616.45 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh15p,-88.240 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh16m,20.704 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh16p,-111.69 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh17m,321.89 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh17p,-178.57 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh18m,21.692 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh18p,1.7828 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh19m,651.50 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
