Tektronix PWRVIEW measurement snap-shot
Created, Thursday, 28 August 2014, 14:31:23
PA1000(0122),S/N C010122,Ver.1.001.006
Meas,PA1000(0122) 1
Vrms,121.76 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Arms,119.68 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Watts,4.2284 W   ,,,,,,,,,,,,,,,,,,,,,,,,,
VA,14.572 VA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Freq,59.986 Hz  ,,,,,,,,,,,,,,,,,,,,,,,,,
PF,290.16 m   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vdc,-33.071 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Adc,24.110 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vthd,3.8301 %   ,,,,,,,,,,,,,,,,,,,,,,,,,
Athd,294.53 %   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh1m,121.69 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh1p,0.0000 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh2m,8.5238 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh2p,-63.975 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh3m,917.35 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh3p,65.967 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh4m,80.514 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh4p,-105.20 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh5m,3.9151 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh5p,-23.314 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh6m,36.174 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh6p,73.352 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh7m,1.5996 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh7p,64.771 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh8m,30.979 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh8p,-83.375 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh9m,1.3313 V   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh9p,176.62 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh10m,22.233 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh10p,11.126 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh11m,898.65 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh11p,63.184 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh12m,17.326 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh12p,-27.776 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh13m,555.83 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh13p,147.59 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh14m,8.4946 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh14p,-58.386 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh15m,656.32 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh15p,-86.855 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh16m,18.309 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh16p,8.7198 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh17m,356.29 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh17p,-172.91 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh18m,21.151 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh18p,-64.973 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh19m,679.39 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh19p,-126.33 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh20m,35.034 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh20p,127.29 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh21m,741.38 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh21p,-22.550 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh22m,39.176 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh22p,-49.276 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh23m,228.98 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh23p,-15.373 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh24m,26.736 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh24p,168.65 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh25m,515.46 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh25p,-73.220 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh26m,13.901 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh26p,19.714 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh27m,372.22 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh27p,-5.8960 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh28m,31.174 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh28p,-110.29 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh29m,93.913 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh29p,128.12 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh30m,24.122 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh30p,80.947 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh31m,183.09 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh31p,-37.284 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh32m,9.3142 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh32p,-86.163 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh33m,144.48 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh33p,-2.6199 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh34m,7.3446 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh34p,131.08 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
